consumers,consumerName,Consumer.Sp.stage,consumerSP,consumerStage,resources,resourceName,Resource.Sp.stage,resourceSP,resourceStage,Consumer.Interaction.Code,Feeding.Site,confidence,justification,Ref.ID,localities,version
825,Lecithochirium.exodicum.736.1,736.1,736,1,268,Gibbonsia.elegans.225.1,225.1,225,1,12,1,3,6,586,"Northern California, CA, USA",V2.Dryad
844,Phyllodistomum.borisbychowskyi.755.1,755.1,755,1,268,Gibbonsia.elegans.225.1,225.1,225,1,12,1,3,10,116; 586,"Southern California, CA, USA",V2.Dryad
848,Podocotyle.californica.759.1,759.1,759,1,268,Gibbonsia.elegans.225.1,225.1,225,1,12,1,4,11,106; 120; 167; 187; 406; 407,"Catalina Island, Channel Islands, CA, USA; oil platforms, Santa Barbara Channel, CA, USA",V2.Dryad
860,Bucephaloides.META.SCI2.771.1,771.1,771,1,268,Gibbonsia.elegans.225.1,225.1,225,1,12,1,3,9,235,"Santa Barbara Channel, CA, USA",V2.Dryad
882,META.SCI2.META.SCI2.793.5,793.5,793,5,268,Gibbonsia.elegans.225.1,225.1,225,1,12,1,3,9,235,"Santa Barbara Channel, CA, USA",V2.Dryad
966,Hysterothylacium.aduncum.875.5,875.5,875,5,268,Gibbonsia.elegans.225.1,225.1,225,1,12,1,3,11,611; 730,"Marine, many localities",V2.Dryad
979,"Anisakis.sp.(sp.A,simplex,sp.).886.5",886.5,886,5,268,Gibbonsia.elegans.225.1,225.1,225,1,12,1,3,11,106; 167; 406; 407; 1039,"Catalina Island, Channel Islands, CA, USA; oil platforms, Santa Barbara Channel, CA, USA; Central CA, USA",V2.Dryad
1003,Pseudoterranova.decipiens.908.5,908.5,908,5,268,Gibbonsia.elegans.225.1,225.1,225,1,12,1,3,11,106; 120; 167; 187; 406; 407; 432; 711; 1039,"Catalina Island, Channel Islands, CA, USA; oil platforms, Santa Barbara Channel, CA, USA; Central Oregon; Central CA, USA",V2.Dryad
1139,Lepeophtheirus.schaadti.1041.1,1041.1,1041,1,268,Gibbonsia.elegans.225.1,225.1,225,1,3,3,2,3,770,"Cabrillo Beach, San Pedro, CA",V2.Dryad
1174,Elthusa(Lironeca).vulgaris.1076.1,1076.1,1076,1,268,Gibbonsia.elegans.225.1,225.1,225,1,6,2,4,13,1055,"CA, USA",V2.Dryad
1230,Ceratomyxa.blennius.1132.1,1132.1,1132,1,268,Gibbonsia.elegans.225.1,225.1,225,1,5,1,2,3,722; 723,"CA, USA",V2.Dryad
1240,Ceratomyxa.noblei.1142.1,1142.1,1142,1,268,Gibbonsia.elegans.225.1,225.1,225,1,5,1,2,3,722,"CA, USA",V2.Dryad
1258,Sphaerospora.sphaerula.1160.1,1160.1,1160,1,268,Gibbonsia.elegans.225.1,225.1,225,1,5,1,2,3,721,"Point Conception, CA, USA",V2.Dryad
1259,Sphaeromyxa.gibbonsia.1161.1,1161.1,1161,1,268,Gibbonsia.elegans.225.1,225.1,225,1,5,1,2,3,721,"Santa Barbara, CA, USA",V2.Dryad
1261,Trilospora.californica.1163.1,1163.1,1163,1,268,Gibbonsia.elegans.225.1,225.1,225,1,5,1,2,3,721,"Santa Barbara, CA, USA",V2.Dryad
1285,Contracaecum.bird.sp.complex.1175.5,1175.5,1175,5,268,Gibbonsia.elegans.225.1,225.1,225,1,12,1,4,11,609; 1048,Marine,V2.Dryad
1299,Phyllobothrium.riseri.577.4,577.4,577,4,268,Gibbonsia.elegans.225.1,225.1,225,1,12,1,4,11,106; 406; 187; 407; 432; 711,"Catalina Island, Channel Islands, CA, USA; oil platforms, Santa Barbara Channel, CA, USA; Central Oregon",V2.Dryad
8,Aechmophorus.occidentalis.8.1,8.1,8,1,269,Gibbonsia.metzi.226.1,226.1,226,1,1,3,3,6,6,North Pacific,V2.Dryad
12,Gavia.immer.12.1,12.1,12,1,269,Gibbonsia.metzi.226.1,226.1,226,1,1,3,3,4,512; 584,"Pacific Coast, USA",V2.Dryad
20,Phalacrocorax.penicillatus.20.1,20.1,20,1,269,Gibbonsia.metzi.226.1,226.1,226,1,1,3,3,3,7,Central California; Baja California,V2.Dryad
162,Cirolana.diminuta.128.1,128.1,128,1,269,Gibbonsia.metzi.226.1,226.1,226,1,3,3,3,4,937,"San Diego, CA, USA",V2.Dryad
165,Excorallana.truncata.131.1,131.1,131,1,269,Gibbonsia.metzi.226.1,226.1,226,1,3,3,4,4,937,"San Diego, CA, USA",V2.Dryad
191,Vargula.tsujii.151.1,151.1,151,1,269,Gibbonsia.metzi.226.1,226.1,226,1,3,3,3,4,937,"San Diego, CA, USA",V2.Dryad
192,Alpheus.clamator.152.1,152.1,152,1,269,Gibbonsia.metzi.226.1,226.1,226,1,1,3,4,4,598,"Newport Bay, CA, USA",V2.Dryad
247,Platyrhinoidis.triseriata.204.1,204.1,204,1,269,Gibbonsia.metzi.226.1,226.1,226,1,1,3,3,4,258,"CA, USA",V2.Dryad
250,Cephaloscyllium.ventriosum.207.1,207.1,207,1,269,Gibbonsia.metzi.226.1,226.1,226,1,1,3,3,4,258,"CA, USA",V2.Dryad
251,Heterodontus.francisci.208.1,208.1,208,1,269,Gibbonsia.metzi.226.1,226.1,226,1,1,3,4,4,258,"CA, USA",V2.Dryad
271,Gymnothorax.mordax.228.1,228.1,228,1,269,Gibbonsia.metzi.226.1,226.1,226,1,1,3,4,4,584,"Pacific Coast, USA",V2.Dryad
285,Ophiodon.elongatus.240.1,240.1,240,1,269,Gibbonsia.metzi.226.1,226.1,226,1,1,3,1,4,584,"Pacific Coast, USA",V2.Dryad
303,Sebastes.paucispinis.254.1,254.1,254,1,269,Gibbonsia.metzi.226.1,226.1,226,1,1,3,3,4,793,"CA, USA",V2.Dryad
310,Sebastes.atrovirens.258.1,258.1,258,1,269,Gibbonsia.metzi.226.1,226.1,226,1,1,3,2,3,552,"CA, USA",V2.Dryad
314,Sebastes.serriceps.260.1,260.1,260,1,269,Gibbonsia.metzi.226.1,226.1,226,1,1,3,4,4,584,"Pacific Coast, USA",V2.Dryad
318,Sebastes.rastrelliger.262.1,262.1,262,1,269,Gibbonsia.metzi.226.1,226.1,226,1,1,3,3,4,732,"San Diego, CA, USA",V2.Dryad
556,Andracantha.phalacrocoracis.496.4,496.4,496,4,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
558,Corynosoma.strumosum.497.4,497.4,497,4,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,3,11,106; 406; 673; 732,"San Diego, CA, USA; Catalina Island, Channel Islands, CA, USA; oil platforms, Santa Barbara Channel, CA, USA; Portuguese Bend, Los Angeles County, CA, USA",V2.Dryad
560,Corynosoma.australe(obtuscens).498.4,498.4,498,4,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,4,11,106; 406; 673; 732,"San Diego, CA, USA; Catalina Island, Channel Islands, CA, USA; oil platforms, Santa Barbara Channel, CA, USA; Portuguese Bend, Los Angeles County, CA, USA",V2.Dryad
632,Grillotia.sp..562.4,562.4,562,3,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,4,11,106; 406; 732; 187; 407; 432; 711,"Catalina Island, Channel Islands, CA, USA; oil platforms, Santa Barbara Channel, CA, USA; San Diego, CA, USA; Central Oregon",V2.Dryad
635,Lacistorhynchus.dollfusi.563.4,563.4,563,4,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,3,11,763; 1048,"Santa Barbara, CA, USA; Marine, no area specified",V2.Dryad
728,Genitocotyle.acirrus.645.1,645.1,645,1,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,2,3,586,Central CA,V2.Dryad
790,Pseudopecoelus.gibbonsiae.702.1,702.1,702,1,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,2,3,606,"La Jolla, CA, USA",V2.Dryad
822,Helicometrina.nimia.733.1,733.1,733,1,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,2,3,586,"Southern California, CA, USA",V2.Dryad
825,Lecithochirium.exodicum.736.1,736.1,736,1,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,3,6,586,"Northern California, CA, USA",V2.Dryad
844,Phyllodistomum.borisbychowskyi.755.1,755.1,755,1,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,1,3,116; 586,"Southern California, CA, USA",V2.Dryad
848,Podocotyle.californica.759.1,759.1,759,1,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,4,11,106; 167; 406; 673; 732,"Catalina Island, Channel Islands, CA, USA; oil platforms, Santa Barbara Channel, CA, USA; San Diego, CA, USA; Portuguese Bend, Los Angeles County, CA, USA",V2.Dryad
860,Bucephaloides.META.SCI2.771.1,771.1,771,1,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,3,9,235,"Santa Barbara Channel, CA, USA",V2.Dryad
882,META.SCI2.META.SCI2.793.5,793.5,793,5,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,3,9,235,"Santa Barbara Channel, CA, USA",V2.Dryad
966,Hysterothylacium.aduncum.875.5,875.5,875,5,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,3,11,611; 730,"Marine, many localities",V2.Dryad
979,"Anisakis.sp.(sp.A,simplex,sp.).886.5",886.5,886,5,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,3,11,1039,"Central CA, USA",V2.Dryad
1003,Pseudoterranova.decipiens.908.5,908.5,908,5,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,3,11,732,"San Diego, CA, USA",V2.Dryad
1139,Lepeophtheirus.schaadti.1041.1,1041.1,1041,1,269,Gibbonsia.metzi.226.1,226.1,226,1,3,3,2,3,770,"Cabrillo Beach, San Pedro, CA",V2.Dryad
1230,Ceratomyxa.blennius.1132.1,1132.1,1132,1,269,Gibbonsia.metzi.226.1,226.1,226,1,5,1,2,3,722; 723,"CA, USA",V2.Dryad
1240,Ceratomyxa.noblei.1142.1,1142.1,1142,1,269,Gibbonsia.metzi.226.1,226.1,226,1,5,1,2,3,357; 722,"Santa Barbara, CA, USA",V2.Dryad
1258,Sphaerospora.sphaerula.1160.1,1160.1,1160,1,269,Gibbonsia.metzi.226.1,226.1,226,1,5,1,2,3,721,"Santa Barbara, CA, USA",V2.Dryad
1259,Sphaeromyxa.gibbonsia.1161.1,1161.1,1161,1,269,Gibbonsia.metzi.226.1,226.1,226,1,5,1,2,3,721,"Santa Barbara, CA, USA",V2.Dryad
1261,Trilospora.californica.1163.1,1163.1,1163,1,269,Gibbonsia.metzi.226.1,226.1,226,1,5,1,2,3,722,"CA, USA",V2.Dryad
1285,Contracaecum.bird.sp.complex.1175.5,1175.5,1175,5,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,4,11,609; 1048,Marine,V2.Dryad
1299,Phyllobothrium.riseri.577.4,577.4,577,4,269,Gibbonsia.metzi.226.1,226.1,226,1,12,1,4,11,106; 406; 732; 187; 407; 432; 711,"Catalina Island, Channel Islands, CA, USA; oil platforms, Santa Barbara Channel, CA, USA; San Diego, CA, USA; Central Oregon",V2.Dryad
20,Phalacrocorax.penicillatus.20.1,20.1,20,1,270,Girella.nigricans.227.1,227.1,227,1,1,3,4,3,7,Central California; Baja California,V2.Dryad
162,Cirolana.diminuta.128.1,128.1,128,1,270,Girella.nigricans.227.1,227.1,227,1,3,3,2,3,937,"San Diego, CA, USA",V2.Dryad
165,Excorallana.truncata.131.1,131.1,131,1,270,Girella.nigricans.227.1,227.1,227,1,3,3,3,4,120,"CA, USA",V2.Dryad
174,Gnathia.stevensi.139.4,139.4,139,4,270,Girella.nigricans.227.1,227.1,227,1,3,3,3,4,472,Marine,V2.Dryad
191,Vargula.tsujii.151.1,151.1,151,1,270,Girella.nigricans.227.1,227.1,227,1,3,3,2,3,937,"San Diego, CA, USA",V2.Dryad
249,Torpedo.californica.206.1,206.1,206,1,270,Girella.nigricans.227.1,227.1,227,1,1,3,3,4,584,"Pacific Coast, USA",V2.Dryad
250,Cephaloscyllium.ventriosum.207.1,207.1,207,1,270,Girella.nigricans.227.1,227.1,227,1,1,3,3,4,258,"CA, USA",V2.Dryad
253,Notorynchus.cepedianus.210.1,210.1,210,1,270,Girella.nigricans.227.1,227.1,227,1,1,3,3,4,258; 584,"Pacific Coast, USA",V2.Dryad
255,Triakis.semifasciata.212.1,212.1,212,1,270,Girella.nigricans.227.1,227.1,227,1,1,3,4,4,584,"Pacific Coast, USA",V2.Dryad
285,Ophiodon.elongatus.240.1,240.1,240,1,270,Girella.nigricans.227.1,227.1,227,1,1,3,3,4,584,"Pacific Coast, USA",V2.Dryad
314,Sebastes.serriceps.260.1,260.1,260,1,270,Girella.nigricans.227.1,227.1,227,1,1,3,2,3,532; 584,"Pacific Coast, USA; Channel Islands, CA, USA",V2.Dryad
323,Stereolepis.gigas.265.1,265.1,265,1,270,Girella.nigricans.227.1,227.1,227,1,1,3,3,4,584,"Pacific Coast, USA",V2.Dryad
471,Phoca.vitulina.richardsi.412.1,412.1,412,1,270,Girella.nigricans.227.1,227.1,227,1,1,3,3,4,584,"Pacific Coast, USA",V2.Dryad
472,Zalophus.californianus.413.1,413.1,413,1,270,Girella.nigricans.227.1,227.1,227,1,1,3,3,3,584; 588,"Pacific Coast, USA",V2.Dryad
556,Andracantha.phalacrocoracis.496.4,496.4,496,4,270,Girella.nigricans.227.1,227.1,227,1,12,1,3,11,167; 187; 406; 407,"Catalina Island, Channel Islands, CA, USA",V2.Dryad
558,Corynosoma.strumosum.497.4,497.4,497,4,270,Girella.nigricans.227.1,227.1,227,1,12,1,4,11,167; 187; 406; 407,"Catalina Island, Channel Islands, CA, USA",V2.Dryad
560,Corynosoma.australe(obtuscens).498.4,498.4,498,4,270,Girella.nigricans.227.1,227.1,227,1,12,1,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
632,Grillotia.sp..562.4,562.4,562,4,270,Girella.nigricans.227.1,227.1,227,1,12,1,2,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
635,Lacistorhynchus.dollfusi.563.4,563.4,563,4,270,Girella.nigricans.227.1,227.1,227,1,12,1,2,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
715,Cardicola.nonamo.633.1,633.1,633,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,2,3,502,"La Jolla, CA, USA",V2.Dryad
728,Genitocotyle.acirrus.645.1,645.1,645,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,4,13,1058,NA,V2.Dryad
767,Opisthadena.dimidia.681.1,681.1,681,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,2,3,275,"Ensenada, Baja California, Mexico",V2.Dryad
781,Prodistomum.orientale.693.1,693.1,693,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,3,3,109; 606; 629,"Southern California, CA, USA; Pacific Coast, CA, USA; Venice, CA, USA",V2.Dryad
797,Schikhobalotrema.girellae.709.1,709.1,709,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,2,3,249; 606,"La Jolla, CA, USA; Baja California",V2.Dryad
805,Vitellibaculum.girellae.717.1,717.1,717,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,2,3,681,"La Jolla, CA, USA",V2.Dryad
806,Vitellibaculum.girellicola.718.1,718.1,718,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,1,1,235; 629,"Santa Barbara Channel, CA; Southern California, CA, USA; Pacific Coast, USA",V2.Dryad
820,Genolinea.laticauda.731.1,731.1,731,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,3,3,275,"Ensenada, Baja California, Mexico",V2.Dryad
822,Helicometrina.nimia.733.1,733.1,733,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,4,11,167,"Catalina Island, Channel Islands, CA, USA",V2.Dryad
839,Opecoelus.adsphaericus.750.1,750.1,750,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,1,1,235; 629,"Santa Barbara Channel, CA, USA; La Jolla, CA, USA",V2.Dryad
841,Opisthadena.cheni.752.1,752.1,752,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,1,1,235; 563; 629,"Santa Barbara Channel, CA, USA",V2.Dryad
854,Postporus.sp..765.1,765.1,765,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
908,Gyrodactylus.sp..819.1,819.1,819,1,270,Girella.nigricans.227.1,227.1,227,1,5,1,2,3,502,"La Jolla, CA, USA",V2.Dryad
937,Microcotyle.MON.SCI1.848.1,848.1,848,1,270,Girella.nigricans.227.1,227.1,227,1,6,2,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
939,Gyrodactylus.MON.MO2.850.1,850.1,850,1,270,Girella.nigricans.227.1,227.1,227,1,5,1,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
941,Neobenedenia.melleni(girellae).852.1,852.1,852,1,270,Girella.nigricans.227.1,227.1,227,1,6,2,1,1,123; 235; 339; 370; 1011,"Santa Barbara Channel, CA, USA",V2.Dryad
966,Hysterothylacium.aduncum.875.5,875.5,875,5,270,Girella.nigricans.227.1,227.1,227,1,12,1,2,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
979,"Anisakis.sp.(sp.A,simplex,sp.).886.5",886.5,886,5,270,Girella.nigricans.227.1,227.1,227,1,12,1,4,11,167,"Catalina Island, Channel Islands, CA, USA",V2.Dryad
985,Cucullanus.sp.A.892.1,892.1,892,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
987,Cystidicolidaegen..sp..894.5,894.5,894,5,270,Girella.nigricans.227.1,227.1,227,1,12,1,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
995,Pseudoascarophis.sp..902.1,902.1,902,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
996,Spirocamallanus.pereirai.903.1,903.1,903,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,4,11,167,"Catalina Island, Channel Islands, CA, USA",V2.Dryad
1003,Pseudoterranova.decipiens.908.5,908.5,908,5,270,Girella.nigricans.227.1,227.1,227,1,12,1,4,11,167,"Catalina Island, Channel Islands, CA, USA",V2.Dryad
1006,Parafilaroides.decorus.910.5,910.5,910,5,270,Girella.nigricans.227.1,227.1,227,1,12,1,1,1,235; 293; 923,"Santa Barbara Channel, CA, USA",V2.Dryad
1011,NEM.ANI2.sp..915.1,915.1,915,1,270,Girella.nigricans.227.1,227.1,227,1,12,1,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
1032,COP.NAP1.COP.NAP1.935.4,935.4,935,4,270,Girella.nigricans.227.1,227.1,227,1,6,2,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
1039,Peniculus.fistula.942.1,942.1,942,1,270,Girella.nigricans.227.1,227.1,227,1,6,2,2,3,598,"Newport Bay, CA, USA",V2.Dryad
1053,Caligus.sp.A(hobsoni).956.1,956.1,956,1,270,Girella.nigricans.227.1,227.1,227,1,3,3,2,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
1285,Contracaecum.bird.sp.complex.1175.5,1175.5,1175,5,270,Girella.nigricans.227.1,227.1,227,1,12,1,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
198,Lysmata.californica.158.1,158.1,158,1,271,Gymnothorax.mordax.228.1,228.1,228,1,3,3,1,3,1016,"CA, USA",V2.Dryad
558,Corynosoma.strumosum.497.4,497.4,497,4,271,Gymnothorax.mordax.228.1,228.1,228,1,12,1,1,11,371; 584; 1041,"Pacific Coast, USA; Belize; Catalina Island, Channel Islands, CA, USA",V2.Dryad
613,Caulobothrium.opisthorchis.546.4,546.4,546,4,271,Gymnothorax.mordax.228.1,228.1,228,1,12,1,4,11,16; 393; 882,"Catalina Island, Channel Islands, CA, USA",V2.Dryad
621,Dollfusiella.litocephala.551.4,551.4,551,4,271,Gymnothorax.mordax.228.1,228.1,228,1,12,1,4,11,16; 393; 882,"Catalina Island, Channel Islands, CA, USA",V2.Dryad
672,Trypanorhynchmetacestode.sp.B.592.4,592.4,592,4,271,Gymnothorax.mordax.228.1,228.1,228,1,12,1,4,11,371; 584,"Catalina Island, Channel Islands, CA, USA",V2.Dryad
741,Lecithophyllum.intermedium.656.1,656.1,656,1,271,Gymnothorax.mordax.228.1,228.1,228,1,12,1,3,3,249; 586,"Baja California, Mexico",V2.Dryad
816,Dollfustrema.californiae.728.1,728.1,728,1,271,Gymnothorax.mordax.228.1,228.1,228,1,12,1,2,3,586,"Southern California, CA, USA; Baja California, Mexico",V2.Dryad
826,Lecithochirium.taboganus.737.1,737.1,737,1,271,Gymnothorax.mordax.228.1,228.1,228,1,12,1,3,3,249; 586,"Southern California, CA, USA; Baja California, Mexico",V2.Dryad
966,Hysterothylacium.aduncum.875.5,875.5,875,5,271,Gymnothorax.mordax.228.1,228.1,228,1,12,1,2,11,371; 584; 1041,"Pacific Coast, USA; Belize; Catalina Island, Channel Islands, CA, USA",V2.Dryad
974,Anisakidaegen..sp.B.882.5,882.5,882,5,271,Gymnothorax.mordax.228.1,228.1,228,1,12,1,2,11,371; 393; 584; 235,"Catalina Island, Channel Islands, CA, USA; Santa Barbara Channel, CA, USA",V2.Dryad
979,"Anisakis.sp.(sp.A,simplex,sp.).886.5",886.5,886,5,271,Gymnothorax.mordax.228.1,228.1,228,1,12,1,1,11,371; 584; 1041,"Pacific Coast, USA; Belize; Catalina Island, Channel Islands, CA, USA",V2.Dryad
1003,Pseudoterranova.decipiens.908.5,908.5,908,5,271,Gymnothorax.mordax.228.1,228.1,228,1,12,1,3,11,371; 584,"Pacific Coast, USA; Catalina Island, Channel Islands, CA, USA",V2.Dryad
1049,Hatschekia.pinguis.952.1,952.1,952,1,271,Gymnothorax.mordax.228.1,228.1,228,1,6,2,2,3,586,"Southern California, CA, USA",V2.Dryad
1164,Taeniacanthodes.haakeri.1066.1,1066.1,1066,1,271,Gymnothorax.mordax.228.1,228.1,228,1,6,2,2,3,242,marine,V2.Dryad
1215,Aestabdella.abditovesiculata.1117.1,1117.1,1117,1,271,Gymnothorax.mordax.228.1,228.1,228,1,3,3,3,3,586,"CA, USA",V2.Dryad
1285,Contracaecum.bird.sp.complex.1175.5,1175.5,1175,5,271,Gymnothorax.mordax.228.1,228.1,228,1,12,1,1,11,371; 584; 1041,"Pacific Coast, USA; Belize; Catalina Island, Channel Islands, CA, USA",V2.Dryad
1367,Anthobothrium.parvum.543.4,543.4,543,4,271,Gymnothorax.mordax.228.1,228.1,228,1,12,1,3,11,371; 393; 584; 235,"Catalina Island, Channel Islands, CA, USA; Santa Barbara Channel, CA, USA",V2.Dryad
8,Aechmophorus.occidentalis.8.1,8.1,8,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,3,4,6,North Pacific,V2.Dryad
12,Gavia.immer.12.1,12.1,12,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,3,4,6,North Pacific,V2.Dryad
20,Phalacrocorax.penicillatus.20.1,20.1,20,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,2,3,7,Central California; Baja California,V2.Dryad
21,Phalacrocorax.auritus.21.1,21.1,21,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,2,4,7,Central California; Baja California,V2.Dryad
162,Cirolana.diminuta.128.1,128.1,128,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,3,3,1,3,937,"San Diego, CA, USA",V2.Dryad
165,Excorallana.truncata.131.1,131.1,131,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,3,3,3,4,120,"CA, USA",V2.Dryad
174,Gnathia.stevensi.139.4,139.4,139,4,272,Halichoeres.semicinctus.229.1,229.1,229,1,3,3,2,4,472,Marine,V2.Dryad
191,Vargula.tsujii.151.1,151.1,151,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,3,3,2,3,937,"San Diego, CA, USA",V2.Dryad
247,Platyrhinoidis.triseriata.204.1,204.1,204,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,3,4,258,"CA, USA",V2.Dryad
248,Rhinobatos.productus.205.1,205.1,205,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,3,4,979,"Gulf of California, Mexico",V2.Dryad
249,Torpedo.californica.206.1,206.1,206,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,2,3,587,"Palos Verdes, CA, USA",V2.Dryad
250,Cephaloscyllium.ventriosum.207.1,207.1,207,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,4,4,258,"CA, USA",V2.Dryad
251,Heterodontus.francisci.208.1,208.1,208,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,4,4,258,"CA, USA",V2.Dryad
253,Notorynchus.cepedianus.210.1,210.1,210,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,3,4,258; 584,"Pacific Coast, USA",V2.Dryad
255,Triakis.semifasciata.212.1,212.1,212,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,1,4,584,"Pacific Coast, USA",V2.Dryad
271,Gymnothorax.mordax.228.1,228.1,228,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,3,4,1041,Belize,V2.Dryad
289,Paralabrax.nebulifer.243.1,243.1,243,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,3,4,584,"Pacific Coast, USA",V2.Dryad
290,Paralabrax.clathratus.244.1,244.1,244,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,2,3,584,"Pacific Coast, USA",V2.Dryad
303,Sebastes.paucispinis.254.1,254.1,254,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,3,4,793,"CA, USA",V2.Dryad
322,Sphyraena.argentea.264.1,264.1,264,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,3,4,732,"San Diego, CA, USA",V2.Dryad
323,Stereolepis.gigas.265.1,265.1,265,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,3,4,584,"Pacific Coast, USA",V2.Dryad
469,Tursiops.truncatus.410.1,410.1,410,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,3,12,235,"Santa Barbara Channel, CA, USA",V2.Dryad
471,Phoca.vitulina.richardsi.412.1,412.1,412,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,3,12,235,"Santa Barbara Channel, CA, USA",V2.Dryad
472,Zalophus.californianus.413.1,413.1,413,1,272,Halichoeres.semicinctus.229.1,229.1,229,1,1,3,3,4,584,"Pacific Coast, USA",V2.Dryad
556,Andracantha.phalacrocoracis.496.4,496.4,496,4,272,Halichoeres.semicinctus.229.1,229.1,229,1,12,1,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
558,Corynosoma.strumosum.497.4,497.4,497,4,272,Halichoeres.semicinctus.229.1,229.1,229,1,12,1,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
560,Corynosoma.australe(obtuscens).498.4,498.4,498,4,272,Halichoeres.semicinctus.229.1,229.1,229,1,12,1,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
632,Grillotia.sp..562.4,562.4,562,3,272,Halichoeres.semicinctus.229.1,229.1,229,1,12,1,4,11,106; 406; 407,"Catalina Island, Channel Islands, CA, USA; oil platforms, Santa Barbara Channel, CA, USA",V2.Dryad
635,Lacistorhynchus.dollfusi.563.4,563.4,563,4,272,Halichoeres.semicinctus.229.1,229.1,229,1,12,1,3,11,763; 1048,"Santa Barbara, CA, USA; Marine, no area specified",V2.Dryad
642,Nybelinia.spA.(anthicosum).567.4,567.4,567,4,272,Halichoeres.semicinctus.229.1,229.1,229,1,12,1,1,1,235,"Santa Barbara Channel, CA, USA",V2.Dryad
